ID,Date,Profit,Capacity_Score,Area,Age,Food_Diversity_Score,Type,Price_Range,Lat,Long,City,State
54,2/23/2015,143274.4425,4,Downtown,Developed,1,Cafeteria,5,34.0451,-118.18597,Los Angeles,CA
55,2/24/2015,172446.6954,3,Downtown,Developed,8,Full Service Restaurant,2,34.03702,-118.42492,Los Angeles,CA
56,2/25/2015,185951.5107,3,Suburbs,Recent,8,Full Service Restaurant,5,34.10889,-118.22759,Los Angeles,CA
57,2/26/2015,122602.6302,4,Downtown,Developed,10,Cafeteria,4,34.00127,-118.43065,Los Angeles,CA
58,2/27/2015,152338.9496,5,Suburbs,Well-Known,5,Cafeteria,4,34.0577,-118.41402,Los Angeles,CA
59,2/28/2015,165012.9004,5,Suburbs,Well-Known,8,Cafeteria,1,34.12837,-118.32828,Los Angeles,CA
60,3/1/2015,116024.122,1,Downtown,Recent,1,Full Service Restaurant,3,34.09386,-118.38171,West Hollywood,CA
61,3/2/2015,109782.5472,6,Suburbs,Recent,7,Full Service Restaurant,2,34.05278,-118.25482,Los Angeles,CA
62,3/3/2015,169372.9476,1,Suburbs,Well-Known,9,Cafeteria,2,34.05453,-118.45696,Los Angeles,CA
63,3/4/2015,159110.872,5,Suburbs,Recent,6,Banquet,3,34.10546,-118.45615,Los Angeles,CA
64,3/5/2015,189542.8763,3,Suburbs,Well-Known,1,Banquet,5,34.04059,-118.2554,Los Angeles,CA
65,3/6/2015,146367.3551,2,Downtown,Well-Known,2,Cafeteria,1,34.02442,-118.28033,Los Angeles,CA
66,3/7/2015,176011.0718,2,Downtown,Recent,10,Banquet,1,33.97539,-118.417,Playa Vista,CA
67,3/8/2015,169823.2827,6,Downtown,Developed,5,Banquet,1,34.07119,-118.44335,Los Angeles,CA
68,3/9/2015,171917.617,1,Suburbs,Developed,7,Banquet,5,33.97072,-118.17079,Bell Gardens,CA
69,3/10/2015,102498.6916,6,Suburbs,Recent,5,Cafeteria,4,34.10103,-118.41475,Beverly Hills,CA
70,3/11/2015,176909.1406,2,Downtown,Developed,5,Full Service Restaurant,1,34.06502,-118.38304,Beverly Hills,CA
71,3/12/2015,116208.6374,2,Downtown,Developed,4,Banquet,4,34.06217,-118.40194,Beverly Hills,CA
72,3/13/2015,176219.4211,1,Downtown,Well-Known,4,Full Service Restaurant,3,33.88078,-118.23607,Compton,CA
73,3/14/2015,158443.6024,5,Downtown,Recent,5,Banquet,3,33.88614,-118.20595,Compton,CA
74,3/15/2015,197675.9912,7,Suburbs,Well-Known,2,Banquet,4,33.91238,-118.2365,Compton,CA
75,3/16/2015,191430.6191,2,Downtown,Recent,2,Full Service Restaurant,5,33.9972,-118.39458,Culver City,CA
76,3/17/2015,90817.44286,2,Downtown,Well-Known,3,Cafeteria,5,34.01879,-118.39182,Culver City,CA
77,3/18/2015,83836.8762,4,Suburbs,Well-Known,4,Cafeteria,2,33.9568,-118.11869,Downey,CA
78,3/19/2015,140292.819,4,Downtown,Recent,3,Cafeteria,2,33.94084,-118.12924,Downey,CA
79,3/20/2015,174794.2737,1,Downtown,Developed,4,Full Service Restaurant,4,33.92213,-118.14148,Downey,CA
80,3/21/2015,115186.381,3,Suburbs,Well-Known,5,Cafeteria,1,33.91695,-118.40206,El Segundo,CA
81,3/22/2015,118233.1728,5,Downtown,Recent,3,Banquet,2,33.8914,-118.29737,Gardena,CA
82,3/23/2015,94643.67042,1,Suburbs,Recent,3,Cafeteria,3,33.87669,-118.2835,Gardena,CA
83,3/24/2015,153408.1761,3,Suburbs,Recent,9,Cafeteria,2,33.9015,-118.31708,Gardena,CA
84,3/25/2015,205152.3547,7,Downtown,Well-Known,1,Full Service Restaurant,3,33.91436,-118.34931,Hawthorne,CA
85,3/26/2015,125494.9195,7,Downtown,Well-Known,7,Cafeteria,5,33.86546,-118.39665,Hermosa Beach,CA
86,3/27/2015,215838.7746,1,Downtown,Well-Known,1,Full Service Restaurant,4,33.97695,-118.21718,Huntington Park,CA
87,3/28/2015,189956.7083,5,Suburbs,Recent,10,Full Service Restaurant,4,33.88828,-118.35122,Lawndale,CA
88,3/29/2015,141825.8931,7,Downtown,Recent,7,Banquet,5,33.92365,-118.20053,Lynwood,CA
89,3/30/2015,165574.7855,4,Downtown,Developed,1,Cafeteria,1,34.03892,-118.70792,Malibu,CA
90,3/31/2015,166644.2638,5,Suburbs,Well-Known,2,Cafeteria,2,34.07191,-118.84989,Malibu,CA
91,4/1/2015,124976.0834,4,Suburbs,Developed,6,Full Service Restaurant,4,33.8895,-118.39718,Manhattan Beach,CA
92,4/2/2015,177258.5101,3,Suburbs,Well-Known,4,Full Service Restaurant,4,33.98797,-118.18592,Maywood,CA
93,4/3/2015,99449.55782,1,Suburbs,Well-Known,9,Cafeteria,5,34.07991,-118.54219,Pacific Palisades,CA
94,4/4/2015,165772.6836,4,Downtown,Well-Known,7,Cafeteria,5,33.77734,-118.36893,Palos Verdes Peninsula,CA
95,4/5/2015,138206.9664,5,Downtown,Developed,10,Cafeteria,5,33.75545,-118.36393,Rancho Palos Verdes,CA
96,4/6/2015,140400.5248,4,Downtown,Well-Known,7,Cafeteria,2,33.83073,-118.3846,Redondo Beach,CA
97,4/7/2015,136294.2123,7,Suburbs,Developed,8,Banquet,1,33.87325,-118.37037,Redondo Beach,CA
98,4/8/2015,186905.6188,3,Downtown,Well-Known,6,Banquet,4,33.9446,-118.19262,South Gate,CA
99,4/9/2015,135388.457,2,Downtown,Well-Known,8,Full Service Restaurant,1,34.09588,-118.60707,Topanga,CA
100,4/10/2015,154978.1971,1,Downtown,Well-Known,6,Banquet,4,33.99437,-118.46344,Venice,CA
101,4/11/2015,102181.5487,6,Downtown,Developed,8,Banquet,2,33.97831,-118.44761,Marina Del Rey,CA
102,4/12/2015,97549.54206,5,Suburbs,Recent,2,Banquet,4,33.95033,-118.43721,Playa Del Rey,CA
103,4/13/2015,164381.1165,5,Suburbs,Well-Known,7,Banquet,4,33.95652,-118.35864,Inglewood,CA
104,4/14/2015,141222.1926,3,Downtown,Well-Known,5,Banquet,4,33.97472,-118.35551,Inglewood,CA
105,4/15/2015,104023.5497,5,Downtown,Well-Known,8,Banquet,4,33.93809,-118.33232,Inglewood,CA
106,4/16/2015,176410.4007,3,Suburbs,Well-Known,5,Cafeteria,2,33.93799,-118.35857,Inglewood,CA
107,4/17/2015,131752.6657,5,Suburbs,Well-Known,8,Full Service Restaurant,3,33.95959,-118.33015,Inglewood,CA
108,4/18/2015,131046.587,4,Downtown,Developed,8,Full Service Restaurant,5,34.01545,-118.49248,Santa Monica,CA
109,4/19/2015,142699.6628,6,Downtown,Well-Known,4,Banquet,3,34.03561,-118.50364,Santa Monica,CA
110,4/20/2015,157012.6253,6,Downtown,Developed,8,Full Service Restaurant,5,34.03106,-118.4901,Santa Monica,CA
111,4/21/2015,164563.8568,4,Suburbs,Well-Known,5,Full Service Restaurant,5,34.02662,-118.47364,Santa Monica,CA
112,4/22/2015,166339.7848,3,Downtown,Well-Known,3,Full Service Restaurant,4,34.01179,-118.46821,Santa Monica,CA
113,4/23/2015,114418.8628,7,Downtown,Well-Known,5,Banquet,5,33.8334,-118.31426,Torrance,CA
114,4/24/2015,217033.2934,4,Suburbs,Well-Known,1,Full Service Restaurant,3,33.83499,-118.29292,Torrance,CA
115,4/25/2015,119380.9505,1,Suburbs,Developed,3,Full Service Restaurant,2,33.84074,-118.35361,Torrance,CA
116,4/26/2015,141122.7929,3,Downtown,Well-Known,5,Banquet,3,33.86682,-118.33115,Torrance,CA
117,4/27/2015,115289.8975,6,Suburbs,Well-Known,9,Cafeteria,1,33.80887,-118.34802,Torrance,CA
118,4/28/2015,85678.58667,1,Suburbs,Recent,8,Cafeteria,2,33.88491,-118.33033,Torrance,CA
119,4/29/2015,136411.8301,3,Downtown,Well-Known,5,Full Service Restaurant,3,34.00833,-118.03135,Whittier,CA
120,4/30/2015,138168.5032,6,Suburbs,Developed,8,Banquet,1,33.972,-118.02227,Whittier,CA
121,5/1/2015,132694.3624,1,Suburbs,Recent,3,Banquet,2,33.94541,-117.99253,Whittier,CA
122,5/2/2015,131341.25,2,Suburbs,Developed,6,Full Service Restaurant,3,33.93012,-118.01225,Whittier,CA
123,5/3/2015,160106.0132,4,Downtown,Recent,1,Banquet,2,33.94984,-118.02328,Whittier,CA
124,5/4/2015,124125.9839,1,Downtown,Well-Known,4,Banquet,2,33.97766,-118.06579,Whittier,CA
125,5/5/2015,133028.1381,7,Suburbs,Well-Known,2,Full Service Restaurant,1,33.84612,-118.01169,Buena Park,CA
126,5/6/2015,130593.651,2,Downtown,Recent,10,Cafeteria,4,33.87428,-117.99351,Buena Park,CA
127,5/7/2015,174510.6795,7,Downtown,Recent,9,Banquet,2,33.85045,-118.04072,La Palma,CA
128,5/8/2015,122259.3321,3,Suburbs,Recent,10,Cafeteria,1,33.81814,-118.03816,Cypress,CA
129,5/9/2015,137160.4,4,Suburbs,Developed,8,Banquet,2,33.94248,-117.95134,La Habra,CA
130,5/10/2015,153053.8028,3,Downtown,Recent,7,Full Service Restaurant,2,33.90241,-118.0092,La Mirada,CA
131,5/11/2015,129595.1749,6,Suburbs,Recent,2,Banquet,4,34.01507,-118.11073,Montebello,CA
132,5/12/2015,127481.4933,7,Suburbs,Recent,1,Cafeteria,1,33.90685,-118.08263,Norwalk,CA
133,5/13/2015,137349.2719,7,Suburbs,Recent,8,Banquet,3,33.98882,-118.09063,Pico Rivera,CA
134,5/14/2015,121346.5021,3,Suburbs,Developed,10,Banquet,2,33.93301,-118.06264,Santa Fe Springs,CA
135,5/15/2015,123399.7837,4,Suburbs,Developed,9,Cafeteria,2,33.80118,-117.99495,Stanton,CA
136,5/16/2015,212906.1872,2,Suburbs,Well-Known,4,Full Service Restaurant,5,33.86763,-118.08062,Artesia,CA
137,5/17/2015,94609.51493,3,Suburbs,Developed,4,Banquet,3,33.86785,-118.06871,Cerritos,CA
138,5/18/2015,180350.3752,5,Downtown,Developed,7,Banquet,2,33.38251,-118.43439,Avalon,CA
139,5/19/2015,142445.7745,3,Suburbs,Recent,1,Cafeteria,2,33.88802,-118.12706,Bellflower,CA
140,5/20/2015,186205.619,6,Suburbs,Developed,4,Full Service Restaurant,2,33.79809,-118.29907,Harbor City,CA
141,5/21/2015,160431.6929,1,Suburbs,Recent,7,Full Service Restaurant,3,33.84901,-118.14672,Lakewood,CA
142,5/22/2015,131252.2551,3,Downtown,Recent,2,Cafeteria,2,33.84798,-118.11265,Lakewood,CA
143,5/23/2015,197268.1115,7,Suburbs,Well-Known,5,Full Service Restaurant,4,33.84035,-118.07886,Lakewood,CA
144,5/24/2015,137946.3879,4,Suburbs,Recent,10,Full Service Restaurant,3,33.83049,-118.07302,Hawaiian Gardens,CA
145,5/25/2015,194515.1254,6,Suburbs,Well-Known,7,Banquet,3,33.79383,-118.3172,Lomita,CA
146,5/26/2015,209597.6794,5,Downtown,Well-Known,7,Full Service Restaurant,2,33.79557,-118.0636,Los Alamitos,CA
147,5/27/2015,145312.9695,7,Suburbs,Developed,7,Banquet,5,33.89743,-118.16482,Paramount,CA
148,5/28/2015,67575.9875,1,Suburbs,Recent,6,Cafeteria,1,33.73334,-118.27433,San Pedro,CA
149,5/29/2015,138024.3506,7,Suburbs,Developed,10,Cafeteria,2,33.74507,-118.31012,San Pedro,CA
150,5/30/2015,117423.8836,5,Downtown,Developed,6,Banquet,2,33.75962,-118.07346,Seal Beach,CA
151,5/31/2015,128477.6099,5,Downtown,Well-Known,10,Banquet,2,33.71792,-118.07155,Sunset Beach,CA
152,6/1/2015,96886.37769,3,Downtown,Developed,7,Cafeteria,2,33.72709,-118.08284,Surfside,CA
153,6/2/2015,170545.4036,3,Suburbs,Developed,4,Full Service Restaurant,5,33.77865,-118.26167,Wilmington,CA
154,6/3/2015,102639.5008,4,Downtown,Recent,3,Cafeteria,2,33.82124,-118.26441,Carson,CA
155,6/4/2015,80762.70453,3,Downtown,Recent,7,Cafeteria,4,33.85888,-118.25526,Carson,CA
156,6/5/2015,118508.5133,4,Suburbs,Well-Known,8,Cafeteria,3,33.86298,-118.25131,Carson,CA
157,6/6/2015,112844.9403,5,Suburbs,Developed,8,Full Service Restaurant,3,33.80289,-118.16772,Signal Hill,CA
158,6/7/2015,200256.8216,2,Downtown,Developed,2,Full Service Restaurant,5,33.75021,-118.2114,Long Beach,CA
159,6/8/2015,149841.2039,6,Suburbs,Well-Known,6,Cafeteria,4,33.76162,-118.12219,Long Beach,CA
160,6/9/2015,189286.6991,1,Suburbs,Developed,1,Banquet,1,33.78185,-118.14863,Long Beach,CA
161,6/10/2015,164848.2993,5,Downtown,Developed,5,Cafeteria,2,33.86493,-118.18055,Long Beach,CA
162,6/11/2015,113464.8764,3,Suburbs,Well-Known,6,Cafeteria,4,33.8045,-118.18762,Long Beach,CA
163,6/12/2015,194818.5123,4,Downtown,Well-Known,3,Full Service Restaurant,5,33.82795,-118.1746,Long Beach,CA
164,6/13/2015,190290.258,4,Downtown,Recent,2,Banquet,3,33.82406,-118.11239,Long Beach,CA
165,6/14/2015,91016.57583,7,Downtown,Developed,10,Cafeteria,5,33.81894,-118.2211,Long Beach,CA
166,6/15/2015,120719.4545,3,Downtown,Developed,4,Banquet,3,33.78237,-118.19686,Long Beach,CA
167,6/16/2015,151003.6976,7,Suburbs,Well-Known,5,Cafeteria,5,33.77163,-118.14362,Long Beach,CA
168,6/17/2015,131390.9369,3,Suburbs,Recent,10,Full Service Restaurant,5,33.79581,-118.11626,Long Beach,CA
169,6/18/2015,168640.6789,6,Suburbs,Developed,3,Banquet,1,33.77844,-118.11863,Long Beach,CA
170,6/19/2015,95974.32825,7,Suburbs,Recent,7,Full Service Restaurant,1,33.76829,-118.2017,Long Beach,CA
171,6/20/2015,170336.6791,4,Downtown,Recent,1,Banquet,2,34.19544,-118.13796,Altadena,CA
172,6/21/2015,129492.3682,7,Suburbs,Recent,9,Banquet,1,34.13603,-118.02679,Arcadia,CA
173,6/22/2015,161116.2577,3,Suburbs,Well-Known,7,Banquet,5,34.1286,-118.04825,Arcadia,CA
174,6/23/2015,130054.2549,1,Suburbs,Well-Known,10,Full Service Restaurant,1,34.15344,-117.96821,Duarte,CA
175,6/24/2015,152843.5397,3,Downtown,Well-Known,10,Cafeteria,1,34.14073,-117.9567,Duarte,CA
176,6/25/2015,96632.49411,5,Downtown,Recent,9,Banquet,1,34.22161,-118.20516,La Canada Flintridge,CA
177,6/26/2015,117261.3686,2,Downtown,Developed,8,Cafeteria,5,34.15209,-118.0007,Monrovia,CA
178,6/27/2015,216088.6214,4,Suburbs,Well-Known,1,Full Service Restaurant,5,34.21129,-118.23072,Montrose,CA
179,6/28/2015,107953.0655,4,Suburbs,Developed,1,Cafeteria,2,34.16871,-118.05036,Sierra Madre,CA
180,6/29/2015,163239.8415,1,Suburbs,Well-Known,6,Cafeteria,4,34.1102,-118.15735,South Pasadena,CA
181,6/30/2015,143205.4165,7,Downtown,Developed,7,Banquet,2,34.26177,-118.33715,Sunland,CA
182,7/1/2015,123059.4484,1,Downtown,Recent,8,Full Service Restaurant,5,34.31653,-118.24912,Tujunga,CA
183,7/2/2015,130295.1937,1,Downtown,Recent,9,Full Service Restaurant,1,34.21145,-118.24104,Verdugo City,CA
184,7/3/2015,156592.1491,3,Suburbs,Well-Known,10,Full Service Restaurant,5,34.14657,-118.13942,Pasadena,CA
185,7/4/2015,191462.3434,2,Downtown,Well-Known,10,Banquet,2,34.16898,-118.16597,Pasadena,CA
186,7/5/2015,155174.2787,2,Suburbs,Well-Known,3,Cafeteria,3,34.16784,-118.12348,Pasadena,CA
187,7/6/2015,166332.1515,6,Suburbs,Recent,5,Full Service Restaurant,3,34.13821,-118.16677,Pasadena,CA
188,7/7/2015,118840.1696,1,Downtown,Well-Known,3,Banquet,4,34.13867,-118.1282,Pasadena,CA
189,7/8/2015,153236.0313,3,Downtown,Developed,3,Full Service Restaurant,2,34.15833,-118.08716,Pasadena,CA
190,7/9/2015,138591.2391,5,Downtown,Recent,8,Full Service Restaurant,3,34.12234,-118.11341,San Marino,CA
191,7/10/2015,93194.5294,4,Suburbs,Recent,1,Cafeteria,1,34.17031,-118.28913,Glendale,CA
192,7/11/2015,193452.2115,1,Suburbs,Well-Known,1,Full Service Restaurant,4,34.16785,-118.26846,Glendale,CA
193,7/12/2015,197371.9188,6,Suburbs,Developed,8,Full Service Restaurant,5,34.15298,-118.26419,Glendale,CA
194,7/13/2015,94505.65732,1,Suburbs,Developed,7,Banquet,1,34.13629,-118.26093,Glendale,CA
195,7/14/2015,186081.4836,5,Suburbs,Developed,3,Full Service Restaurant,5,34.13666,-118.24332,Glendale,CA
196,7/15/2015,151890.6893,5,Suburbs,Recent,8,Cafeteria,5,34.16068,-118.21352,Glendale,CA
197,7/16/2015,122640.8715,6,Downtown,Developed,10,Banquet,4,34.18361,-118.25864,Glendale,CA
198,7/17/2015,140815.9894,7,Downtown,Developed,2,Cafeteria,3,34.1925,-118.23656,Glendale,CA
199,7/18/2015,107255.1025,4,Suburbs,Recent,5,Full Service Restaurant,4,34.14452,-118.25645,Glendale,CA
200,7/19/2015,77026.51978,3,Suburbs,Developed,5,Cafeteria,3,34.23671,-118.24925,La Crescenta,CA
201,7/20/2015,148116.6348,6,Suburbs,Well-Known,7,Banquet,2,34.12274,-118.7572,Agoura Hills,CA
202,7/21/2015,138440.6725,7,Downtown,Developed,3,Cafeteria,4,34.12426,-118.6701,Calabasas,CA
203,7/22/2015,144045.6409,7,Downtown,Developed,9,Full Service Restaurant,5,34.19794,-118.60156,Canoga Park,CA
204,7/23/2015,105843.5443,6,Suburbs,Developed,7,Cafeteria,2,34.22465,-118.63249,Canoga Park,CA
205,7/24/2015,185652.6657,6,Downtown,Well-Known,4,Full Service Restaurant,4,34.20927,-118.5754,Winnetka,CA
206,7/25/2015,179794.8929,5,Downtown,Well-Known,1,Cafeteria,4,34.20164,-118.66216,West Hills,CA
207,7/26/2015,120268.3716,7,Downtown,Well-Known,2,Cafeteria,2,34.28937,-118.60742,Chatsworth,CA
208,7/27/2015,176857.8028,2,Downtown,Recent,2,Banquet,5,34.16039,-118.51669,Encino,CA
209,7/28/2015,107864.6749,5,Downtown,Well-Known,1,Cafeteria,5,34.17596,-118.94506,Newbury Park,CA
210,7/29/2015,154405.7821,2,Suburbs,Recent,8,Cafeteria,4,34.36909,-118.486,Newhall,CA
211,7/30/2015,135467.0141,1,Suburbs,Developed,4,Banquet,3,34.23901,-118.54958,Northridge,CA
212,7/31/2015,126187.7579,1,Suburbs,Developed,7,Cafeteria,4,34.23602,-118.51759,Northridge,CA
213,8/1/2015,194263.1702,7,Downtown,Developed,4,Banquet,1,34.28048,-118.55758,Porter Ranch,CA
214,8/2/2015,115028.3751,4,Downtown,Developed,9,Cafeteria,3,34.24765,-118.52607,Northridge,CA
215,8/3/2015,180933.0537,2,Downtown,Well-Known,4,Full Service Restaurant,4,34.25562,-118.42076,Pacoima,CA
216,8/4/2015,149683.6253,5,Downtown,Well-Known,5,Cafeteria,4,34.20105,-118.54067,Reseda,CA
217,8/5/2015,147578.1602,5,Downtown,Developed,2,Banquet,4,34.28679,-118.43513,San Fernando,CA
218,8/6/2015,175928.4029,2,Downtown,Recent,7,Full Service Restaurant,5,34.31515,-118.38506,Sylmar,CA
219,8/7/2015,130729.8008,6,Suburbs,Developed,4,Full Service Restaurant,1,34.23827,-118.48067,North Hills,CA
220,8/8/2015,146737.5977,3,Suburbs,Developed,6,Full Service Restaurant,2,34.29392,-118.5075,Granada Hills,CA
221,8/9/2015,104624.7013,5,Downtown,Recent,5,Banquet,4,34.26594,-118.45945,Mission Hills,CA
222,8/10/2015,157926.2971,1,Downtown,Recent,5,Banquet,2,34.43357,-118.50074,Santa Clarita,CA
223,8/11/2015,196944.0383,2,Suburbs,Well-Known,2,Banquet,5,34.43321,-118.46295,Canyon Country,CA
224,8/12/2015,111320.3035,3,Downtown,Developed,6,Banquet,4,34.23194,-118.36642,Sun Valley,CA
225,8/13/2015,213080.876,6,Downtown,Recent,10,Full Service Restaurant,3,34.46493,-118.55428,Valencia,CA
226,8/14/2015,163646.6319,2,Suburbs,Well-Known,4,Cafeteria,4,34.42467,-118.58925,Valencia,CA
227,8/15/2015,93650.28825,6,Suburbs,Recent,3,Cafeteria,3,34.15508,-118.54751,Tarzana,CA
228,8/16/2015,160243.9716,7,Suburbs,Developed,1,Full Service Restaurant,5,34.21271,-118.88215,Thousand Oaks,CA
229,8/17/2015,156776.3618,7,Suburbs,Developed,10,Full Service Restaurant,1,34.13649,-118.889,Westlake Village,CA
230,8/18/2015,100899.9198,2,Suburbs,Developed,2,Banquet,2,34.19336,-118.81868,Thousand Oaks,CA
231,8/19/2015,138858.1607,4,Downtown,Well-Known,7,Cafeteria,1,34.15477,-118.59509,Woodland Hills,CA
232,8/20/2015,112910.3373,3,Downtown,Developed,7,Banquet,3,34.17705,-118.61531,Woodland Hills,CA
233,8/21/2015,207372.0171,6,Suburbs,Well-Known,10,Full Service Restaurant,3,34.18459,-118.57636,Woodland Hills,CA
234,8/22/2015,191079.4528,4,Downtown,Developed,6,Full Service Restaurant,2,34.18496,-118.76687,Oak Park,CA
235,8/23/2015,184480.5783,6,Downtown,Developed,10,Full Service Restaurant,3,34.37747,-118.61311,Stevenson Ranch,CA
236,8/24/2015,152531.3005,1,Downtown,Recent,7,Banquet,4,34.53072,-118.68639,Castaic,CA
