Loan purpose ,ID,Length of time as a client ,Length of loan ,Type of business / Industry ,Years in business ,Start-up business ,Cash-on-hand ,Total assets ,Debt/equity ratio ,Risk
Working Capital,70,9,3,Hospitality,14,Yes,7449363.169,25509469.76,55,54.41052023
Inventory,71,15,6,High-Tech,18,No,5920157.608,24426427.72,62,36.55200187
New Equipment,72,7,5,Healthcare,20,No,3875801.534,21217686.75,57,46.61764707
New Equipment,73,14,3,Healthcare,16,Yes,4116383.909,34700523.18,35,57.02223541
Inventory,74,1,2,Retail,19,No,7190386.094,22182938.01,48,39.55649051
Working Capital,75,20,2,Hospitality,10,No,2431828.754,29493963.72,27,57.56931761
Operation Expansion,76,20,3,Retail,11,No,3354920.571,32496690.75,44,53.84991641
Working Capital,77,13,10,Manufacturing,20,No,3141184.259,32016446.18,42,38.91424436
Working Capital,78,13,4,High-Tech,6,No,3014528.415,25823427.86,45,66.90421342
Working Capital,79,6,5,Manufacturing,8,No,5615459.307,26078921.42,48,59.10182602
Operation Expansion,80,4,5,Financial Services,18,Yes,4187639.372,19000092.23,64,62.84815202
Inventory,81,15,10,Hospitality,18,No,3021939.933,28990635.4,45,39.84760084
Employee/Payroll,82,7,9,Healthcare,3,No,3299551.664,20301630.19,60,71.3192231
Inventory,83,6,4,Healthcare,12,Yes,1982589.96,31227656.63,48,72.51048151
Working Capital,84,15,5,Manufacturing,18,No,6879227.643,25671931.58,38,35.45466956
New Equipment,85,11,1,Healthcare,14,No,4698048.15,6311555.407,55,61.18563279
Inventory,86,15,7,Retail,11,Yes,2558501.782,24429065.54,52,70.78025882
Employee/Payroll,87,6,8,Retail,4,Yes,5860834.323,29046506.89,38,70.79104689
Real Estate,88,4,5,Manufacturing,4,No,4881259.499,34387329.32,50,65.79199189
Real Estate,89,1,6,Hospitality,12,No,7082897.184,29782607.62,41,45.0203022
New Equipment,90,12,10,Hospitality,16,No,2448402.342,29853120.16,63,48.26851238
Working Capital,91,5,7,Retail,7,Yes,4417718.638,15530938.15,63,79.67844835
Inventory,92,4,3,High-Tech,9,Yes,5119549.414,11075341.1,43,76.22922998
Employee/Payroll,93,10,5,Manufacturing,7,Yes,7350226.92,30736787.67,32,61.69868783
Real Estate,94,14,1,Retail,16,Yes,3777669.255,13261857.3,58,69.50527583
New Equipment,95,12,5,High-Tech,2,No,6472630.492,25497816.65,22,60.48855828
Employee/Payroll,96,4,7,High-Tech,10,No,5015063.819,21893492.41,49,55.30544603
Inventory,97,1,2,Manufacturing,11,No,4688293.72,24598737.59,49,60.48888277
Real Estate,98,13,4,Retail,7,Yes,4161939.358,26153685.98,45,75.36939124
Real Estate,99,20,10,Hospitality,1,No,7121236.073,22755944.75,43,56.83785279
Real Estate,100,2,7,Hospitality,1,No,4729980.024,17283664.58,15,69.25660739
New Equipment,101,20,5,High-Tech,17,No,2334494.078,26406412.86,53,49.36131367
Real Estate,102,3,5,Financial Services,7,Yes,4904600.223,24116821.91,24,74.574745
Real Estate,103,2,5,Manufacturing,18,Yes,5220103.991,22983084.39,62,60.05928317
Real Estate,104,14,7,Healthcare,2,Yes,4045934.6,17652837.88,61,85.1264502
Working Capital,105,6,8,Retail,11,Yes,5445734.509,11737956.44,19,66.04240991
Working Capital,106,1,3,High-Tech,1,Yes,1769709.325,17467948.33,62,100
Real Estate,107,2,3,Retail,7,Yes,5419977.765,42871817.54,50,69.17190037
Real Estate,108,2,8,Healthcare,4,No,2882890.028,30709424.78,25,68.26798479
Working Capital,109,9,9,Manufacturing,16,Yes,5260924.285,28815597.58,58,55.17160922
New Equipment,110,9,7,Manufacturing,11,No,1702909.904,22982176.14,32,65.17333716
Employee/Payroll,111,8,2,Retail,6,Yes,6544176.952,25391438.51,34,69.96548712
Working Capital,112,2,2,High-Tech,6,No,6009808.431,32278131.02,62,60.55047877
Inventory,113,2,2,Manufacturing,1,Yes,3120423.753,31129466.19,52,91.19530707
Employee/Payroll,114,11,9,Retail,8,No,6479723.881,34354620.49,16,41.17471246
Inventory,115,5,2,Manufacturing,17,No,4160916.68,24784495.6,52,51.16335676
Inventory,116,9,7,Hospitality,2,Yes,5758675.742,27417532.18,43,74.11375078
Real Estate,117,17,7,Healthcare,14,Yes,4862982.161,41320904.68,19,48.13222308
Operation Expansion,118,6,7,Healthcare,4,Yes,5849020.652,23532991.81,33,73.76078308
Employee/Payroll,119,6,9,Financial Services,14,Yes,5829816.534,21797459.1,55,58.3598949
Inventory,120,12,3,High-Tech,4,Yes,6975096.842,16244636.34,19,70.28751406
New Equipment,121,13,8,Financial Services,10,Yes,6426272.462,41487193.78,24,53.06467431
Real Estate,122,19,6,Healthcare,10,Yes,5949191.385,30221635.58,51,59.72336529
Operation Expansion,123,10,1,Financial Services,17,Yes,3570169.997,13489963.63,45,68.64671486
Real Estate,124,5,5,Manufacturing,17,No,7469285.289,15429040.96,27,41.82457238
New Equipment,125,13,1,Manufacturing,11,No,6725956.858,26384818.61,61,52.6017656
Operation Expansion,126,16,10,High-Tech,2,Yes,5270431.869,20565212.43,34,74.33719251
Employee/Payroll,127,13,8,Hospitality,18,Yes,7369943.78,29591360.91,32,38.72016521
Inventory,128,10,3,Retail,17,Yes,3659870.98,18784994.76,61,64.56200815
Working Capital,129,11,10,Retail,2,No,4818243.116,27442501.38,24,62.25524521
Working Capital,130,5,10,Manufacturing,13,No,3802582.891,16955463.02,30,55.76160441
Employee/Payroll,131,1,5,Healthcare,19,Yes,2836188.045,31485216.2,22,55.82525308
New Equipment,132,4,4,Hospitality,15,Yes,5168273.193,41130855.88,55,55.56211622
Inventory,133,5,8,Hospitality,14,Yes,3867203.547,23711843.89,57,63.36392699
Working Capital,134,13,9,Financial Services,3,Yes,5753595.786,19854496.31,16,71.13291271
Inventory,135,14,4,Hospitality,16,No,4115333.022,26758515.04,24,42.66297519
Working Capital,136,14,5,Manufacturing,17,Yes,7058730.808,34474704.6,27,44.33577824
New Equipment,137,5,4,High-Tech,14,No,4045952.534,41659841.5,34,46.96889436
Inventory,138,10,2,Hospitality,14,No,4475501.344,13411420.09,31,53.99029051
Employee/Payroll,139,5,8,Retail,18,Yes,7728294.229,14184214.22,48,49.1683663
Real Estate,140,15,6,Hospitality,2,No,1911170.637,30043724.5,30,71.80602528
Real Estate,141,14,2,High-Tech,6,No,1574576.926,20248767.03,38,74.73918476
Employee/Payroll,142,17,5,Financial Services,6,Yes,5110346.392,28045354.95,44,69.71616594
New Equipment,143,9,6,Manufacturing,4,Yes,6037071.645,16441687.82,58,80.28892873
Working Capital,144,1,1,Manufacturing,3,No,6011115.948,20380994.49,33,71.51963256
Inventory,145,18,5,Healthcare,12,Yes,4353149.616,21219374.34,22,61.55508127
Operation Expansion,146,11,3,Manufacturing,7,No,3502229.096,26531830.22,30,64.93851196
Real Estate,147,11,2,Manufacturing,1,Yes,4123085.322,28591186.26,52,87.62615624
Real Estate,148,19,7,Hospitality,11,Yes,3179737.716,34128900.66,60,63.90722176
New Equipment,149,18,5,Healthcare,4,Yes,5758205.087,32222716.65,58,71.05486779
New Equipment,150,11,9,Manufacturing,1,Yes,4493050.361,21175617.89,64,85.59021917
Inventory,151,11,4,Hospitality,20,No,4758356.728,26193613.87,37,37.10659151
Working Capital,152,5,4,Healthcare,11,No,3999434.643,13116029.88,64,64.71471991
Inventory,153,8,9,Manufacturing,1,No,3268117.288,16112736.53,33,76.37354253
Operation Expansion,154,3,7,Financial Services,4,Yes,4001511.311,22364326.27,52,83.34176512
Real Estate,155,7,3,Manufacturing,6,Yes,5630388.648,21395624.6,45,77.92663288
Employee/Payroll,156,12,2,Hospitality,4,Yes,6129467.877,20718971.99,27,72.71168315
Employee/Payroll,157,13,2,Retail,2,No,3700405.742,35664687.45,25,65.99991633
New Equipment,158,3,6,High-Tech,20,No,4793231.276,27578074.59,59,41.34799719
Working Capital,159,16,10,Hospitality,8,No,3744281.011,35968741.83,61,52.36629813
Working Capital,160,5,4,Healthcare,6,No,3843730.781,24540826.63,62,68.64336493
Employee/Payroll,161,10,7,High-Tech,15,No,4631642.068,30930158.76,51,42.87289957
Operation Expansion,162,16,10,Hospitality,8,No,8037984.27,21933734.81,28,41.72297615
Working Capital,163,19,5,Hospitality,3,No,5273272.889,23690578.89,18,58.39401731
New Equipment,164,10,6,Financial Services,5,Yes,4693861.358,17884728.66,49,81.10406003
Real Estate,165,9,9,Healthcare,4,No,6878445.776,29855629.2,64,56.01981522
Employee/Payroll,166,12,5,Manufacturing,19,Yes,3909976.801,20567910.4,41,57.31175617
Operation Expansion,167,19,4,Healthcare,12,No,3907838.406,19514604.18,38,54.4549583
New Equipment,168,9,8,Retail,3,No,7323803.329,18610490.45,33,60.70414324
Real Estate,169,9,6,Retail,13,Yes,3252472.854,24883834.43,23,66.36149901
Working Capital,170,19,2,Financial Services,10,Yes,4401726.101,24130313.43,20,66.63614063
Real Estate,171,4,8,Hospitality,8,Yes,2599513.756,19986110.91,40,79.52008739
Inventory,172,11,8,Manufacturing,13,No,7024593.016,31365446.29,33,38.59107569
Working Capital,173,14,5,Manufacturing,12,No,2788145.932,22069368.69,15,54.99840214
New Equipment,174,1,4,Retail,3,Yes,4325152.294,18778148.2,63,89.50200765
Real Estate,175,15,8,High-Tech,14,Yes,4899048.053,23065869.78,25,56.40154028
Operation Expansion,176,19,5,Manufacturing,7,Yes,4904653.403,21330542.13,29,70.87341642
Operation Expansion,177,18,4,Hospitality,10,Yes,5372446.625,23919901.11,45,63.4955406
Working Capital,178,19,9,Manufacturing,13,Yes,5493641.251,25647406.91,34,55.88201289
New Equipment,179,12,8,Financial Services,6,No,2278723.328,18756397.38,16,67.2804214
Real Estate,180,13,10,Hospitality,16,No,3418101.63,24141121.24,32,44.86045327
Inventory,181,20,9,Healthcare,1,No,4595356.91,31083558.42,36,61.05846548
Real Estate,182,17,6,Retail,9,No,5796093.498,27618328.74,22,48.56471442
Inventory,183,11,3,Hospitality,15,Yes,4919255.763,21415563.08,51,60.59154535
Real Estate,184,8,1,Retail,14,No,4409247.502,18904691.45,22,54.68568438
Employee/Payroll,185,2,10,Financial Services,1,No,3852569.437,18428660.21,31,73.63789956
Operation Expansion,186,13,8,Retail,8,Yes,3365307.927,20408712.35,30,73.50547235
Operation Expansion,187,10,8,High-Tech,3,No,8926374.351,39595543.17,42,45.15284181
Working Capital,188,20,1,Healthcare,5,Yes,3718960.968,24650721.05,26,77.46125988
Employee/Payroll,189,7,4,Financial Services,13,No,5508464.467,35245654.37,27,44.03459523
Working Capital,190,14,10,Manufacturing,17,Yes,6525701.716,17222614.31,43,51.22679997
Employee/Payroll,191,11,5,Manufacturing,20,Yes,5159466.468,26570347.78,17,45.50439509
Real Estate,192,14,10,Manufacturing,3,No,5729608.769,11352966.02,16,62.27662732
Operation Expansion,193,1,4,Retail,15,No,6120890.47,13394879.17,51,52.24880806
Operation Expansion,194,15,5,High-Tech,1,Yes,8639015.762,27883809.92,16,62.17448043
Real Estate,195,19,3,Healthcare,18,No,5501757.715,12113488.44,38,44.36163433
Employee/Payroll,196,1,4,Manufacturing,4,No,4593251.245,30069485.59,51,68.17858875
Operation Expansion,197,9,1,Healthcare,12,Yes,5528107.712,27296398.83,50,64.62788132
Operation Expansion,198,4,5,Financial Services,12,Yes,4844799.015,18474757.16,23,67.390465
Working Capital,199,6,1,Manufacturing,1,No,6344135.142,34356776.75,21,64.35299027
Real Estate,200,17,4,Manufacturing,2,Yes,2962517.849,31425572.77,44,84.76027344
Employee/Payroll,201,4,9,Financial Services,20,No,4803561.885,36304511.84,58,34.37520439
Operation Expansion,202,18,4,Retail,1,Yes,4234348.777,17425241.2,36,85.14452131
Employee/Payroll,203,16,2,Retail,5,Yes,7074004.087,33522085.18,17,60.48977246
Real Estate,204,8,9,Financial Services,7,No,4945078.042,33578689.31,22,53.43914264
Real Estate,205,20,5,Retail,8,Yes,5090049.394,16212941.32,57,72.45213255
Real Estate,206,14,6,Retail,4,Yes,4374126.888,26593626,43,77.57740435
Inventory,207,17,7,Manufacturing,17,No,3495687.652,28884617.04,47,44.01805195
Operation Expansion,208,2,4,Manufacturing,10,No,2407834.123,23538697.32,42,68.1034001
New Equipment,209,3,2,Healthcare,15,Yes,4518471.993,11605702.09,50,72.02779289
New Equipment,210,3,8,Hospitality,6,Yes,4231922.561,32936687.61,38,73.05239827
Employee/Payroll,211,16,9,Retail,10,Yes,3399662.015,20451752.66,17,64.41077861
Working Capital,212,13,3,High-Tech,15,Yes,8217872.463,35774481.09,35,44.1543758
Inventory,213,4,4,Healthcare,20,Yes,7583657.068,31765111.77,60,42.8256879
Inventory,214,5,10,Retail,7,Yes,4204807.774,26235819.5,31,70.99383053
Real Estate,215,16,4,Financial Services,12,Yes,7496598.494,37390662.93,32,50.63645404
New Equipment,216,1,5,Retail,17,Yes,5032847.485,26174547.93,40,59.74386651
New Equipment,217,7,7,High-Tech,1,Yes,6792528.985,31894703.87,25,71.77795001
Operation Expansion,218,17,5,Financial Services,4,No,6084891.475,38568811.74,63,55.10236942
Inventory,219,8,6,High-Tech,14,Yes,4178068.135,23485686.63,16,57.95525156
Working Capital,220,1,3,Retail,7,No,3355894.049,27907266.25,17,64.52849859
New Equipment,221,8,2,High-Tech,19,Yes,2922111.698,27705470.3,24,59.30109908
Operation Expansion,222,11,8,Financial Services,8,Yes,8779310.246,34813246.64,45,53.12546339
Working Capital,223,4,3,Hospitality,8,No,5803212.843,37480599.63,62,54.01320304
Real Estate,224,1,6,Financial Services,18,No,4794561.835,19399308.24,20,45.5638814
Real Estate,225,14,3,Healthcare,11,No,3420519.159,33364845.34,42,55.60592685
Inventory,226,19,2,Financial Services,20,No,4532499.213,37966119.21,22,31.5793132
Working Capital,227,6,3,High-Tech,9,Yes,3446896.907,23319609.66,65,77.81845509
Working Capital,228,19,3,Retail,17,Yes,6159439.996,20589749.91,65,54.15327896
Inventory,229,12,7,Retail,3,No,6624828.323,22593069.7,35,59.23356221
Inventory,230,10,8,Healthcare,20,No,3775742.822,35980215.62,42,35.19048214
New Equipment,231,20,10,Manufacturing,19,Yes,6215849.93,16661627.11,65,49.16409252
Real Estate,232,5,3,Manufacturing,8,No,5966578.42,21487369.13,37,61.30214508
Real Estate,233,16,8,Retail,7,No,7089366.433,13304887.48,58,55.89302218
New Equipment,234,19,8,Retail,10,No,5017688.41,40783621.06,23,42.76679013
New Equipment,235,15,1,Healthcare,12,No,4951098.3,22031096.96,39,55.07646095
Employee/Payroll,236,6,9,Retail,16,No,6836715.013,19260693.17,18,35.62392137
Employee/Payroll,237,4,2,Retail,18,Yes,7575574.329,25544820.31,52,49.68365488
New Equipment,238,8,4,Manufacturing,12,No,3803278.03,31027494.21,52,57.51482343
Working Capital,239,10,3,Manufacturing,2,Yes,6210193.703,19490466.53,42,81.71459423
New Equipment,240,8,10,Manufacturing,17,Yes,7330176.168,23115382.52,17,44.96536665
Employee/Payroll,241,20,10,Financial Services,11,Yes,2237438.281,26574634.89,44,66.8166667
Employee/Payroll,242,3,1,Healthcare,8,Yes,3522752.594,17089371.96,60,82.93267491
Working Capital,243,2,3,Healthcare,18,No,5952955.883,35882983.24,20,35.49703031
Operation Expansion,244,4,6,Manufacturing,15,Yes,4997482.967,36056833.27,15,51.93096101
Operation Expansion,245,7,3,Financial Services,15,Yes,3328869.919,31552370.23,55,65.43149807
Operation Expansion,246,18,8,Financial Services,8,Yes,5442266.435,17065713.35,49,68.75152719
Real Estate,247,18,3,Financial Services,15,No,4728573.141,17357093.26,36,50.68288642
Working Capital,248,1,3,High-Tech,1,Yes,4030455.179,27447021.14,49,88.33292457
Working Capital,249,2,10,High-Tech,4,Yes,3045101.064,35068663.66,58,78.72389986
Real Estate,250,5,6,Retail,5,No,5092455.19,33377095.04,36,60.97570988
New Equipment,251,11,1,Retail,11,Yes,4338958.924,22948412.75,42,72.62136456
Inventory,252,3,5,Hospitality,10,Yes,5444510.27,22623222.22,37,66.91050975
Working Capital,253,9,8,Retail,5,Yes,4886457.041,18435204.58,15,72.17535379
Real Estate,254,4,3,Financial Services,18,Yes,4764825.214,23751423.68,58,61.27451607
New Equipment,255,12,1,Healthcare,14,No,7226673.16,20537265.73,26,44.70455624
Employee/Payroll,256,1,10,Retail,17,No,5836239.099,21558884.43,36,40.49919673
Working Capital,257,2,5,Hospitality,4,No,8973597.137,28423615.09,37,52.17414628
Working Capital,258,8,10,Retail,17,Yes,3874536.645,40092623.5,15,46.03986907
Operation Expansion,259,12,9,Healthcare,7,Yes,5593786.064,23026031.55,55,68.03064256
Operation Expansion,260,2,2,Hospitality,2,No,5071692.467,23798224.01,52,72.07388848
New Equipment,261,14,2,Manufacturing,11,No,6061323.008,20232568.13,34,54.6045973
Operation Expansion,262,4,4,Retail,16,No,4395166.815,31628151.37,20,44.03388831
Operation Expansion,263,15,10,Financial Services,1,No,8750242.149,21998960.42,53,55.16203119
Working Capital,264,15,9,Manufacturing,12,No,6891932.945,30554844.88,63,41.70122117
Operation Expansion,265,3,9,Hospitality,7,Yes,4557732.564,24299119.84,25,70.0837627
New Equipment,266,17,6,Retail,9,No,3274146.925,22789170.05,62,62.47828628
Operation Expansion,267,19,10,Healthcare,3,Yes,4804636.557,20438988.68,18,70.59895648
New Equipment,268,5,2,Healthcare,6,No,5446101.98,32282137.41,31,60.88670967
Operation Expansion,269,2,4,Retail,1,No,4095975.113,27064149.86,58,75.79502089
New Equipment,270,3,5,Retail,6,No,4178289.609,20669401.4,61,70.57280516
Working Capital,271,14,8,Hospitality,11,Yes,6774780.41,27632463.81,42,54.8144756
Employee/Payroll,272,16,10,High-Tech,2,Yes,6881177.865,28436760.04,58,66.56084595
New Equipment,273,1,7,Retail,8,Yes,5859654.38,30890203.92,25,66.68128941
New Equipment,274,11,4,Healthcare,5,Yes,1821299.369,27810005.6,20,82.61634343
Operation Expansion,275,1,4,High-Tech,4,Yes,5327664.418,23290057.46,19,75.99979167
Real Estate,276,10,6,Manufacturing,1,Yes,2422598.795,22324960.86,54,93.17838301
Real Estate,277,7,7,Retail,15,Yes,4869961.049,31612668.93,65,58.64586633
Working Capital,278,4,4,High-Tech,7,No,4810560.212,19482158.73,26,63.16710258
Working Capital,279,19,3,Hospitality,12,Yes,5946980.64,24144233.4,42,59.01129717
New Equipment,280,16,4,High-Tech,15,Yes,3710751.705,21590317.32,56,64.69180181
Inventory,281,14,5,High-Tech,19,Yes,7114622.759,17134238,61,47.45286791
Inventory,282,10,7,Retail,10,Yes,6604973.144,17222922.56,57,64.4235903
Employee/Payroll,283,3,3,High-Tech,19,Yes,4679968.157,24620478.51,46,55.88950105
Working Capital,284,3,8,Healthcare,5,Yes,605042.7758,28872272.83,50,88.49202903
Operation Expansion,285,20,8,Manufacturing,17,Yes,8630337.504,19116613.97,46,42.95063023
Employee/Payroll,286,5,2,Manufacturing,3,No,4827782.861,30744941.22,53,68.95384541
Inventory,287,20,10,Financial Services,7,Yes,6263850.013,23094400.31,35,61.85181344
Operation Expansion,288,13,6,Healthcare,20,No,7403705.418,29822065.87,21,24.29653609
New Equipment,289,20,8,Hospitality,3,No,6597104.061,20943153.04,15,52.60897091
Working Capital,290,7,9,High-Tech,18,No,4241354.635,17320474.81,47,45.61983485
Operation Expansion,291,12,9,Healthcare,17,Yes,5693608.2,36552698.39,19,41.83956436
Operation Expansion,292,7,7,Financial Services,4,No,5595631.614,29402524.99,24,59.12470125
Operation Expansion,293,1,10,Hospitality,20,Yes,8634181.162,33534491.67,40,34.16536565
Operation Expansion,294,16,10,High-Tech,5,Yes,3912390.263,22365832.72,36,73.20110107
Inventory,295,5,4,High-Tech,13,Yes,4580322.507,30095903.83,39,62.4245992
Real Estate,296,19,6,Hospitality,19,No,5119140.752,38843209.7,60,31.2320435
Real Estate,297,16,3,Financial Services,1,No,3610973.926,29984191.04,41,72.89521673
Operation Expansion,298,6,6,Healthcare,13,Yes,6862522.794,27641116.36,52,56.30269339
Employee/Payroll,299,5,5,High-Tech,4,No,3483517.035,17730714.96,39,71.97641407
Working Capital,300,16,7,Hospitality,13,Yes,5330120.224,24656434.96,31,56.33207538
New Equipment,301,13,1,Hospitality,6,Yes,5586077.536,28609360.56,29,71.11460143
Real Estate,302,11,2,Retail,10,Yes,7990831.136,21741867.99,54,62.70521147
Working Capital,303,9,10,Hospitality,3,No,5825107.925,18803995.4,65,63.2938324
Working Capital,304,14,2,Financial Services,5,No,3295302.941,2822778.405,57,80.05237652
Real Estate,305,16,4,Financial Services,6,Yes,4370749.44,21401659.75,55,78.26742195
Operation Expansion,306,10,4,Financial Services,20,No,3396618.321,26191722.63,53,45.16841678
Inventory,307,2,8,Retail,15,Yes,6453980.924,19315486.17,53,57.68012972
Real Estate,308,12,10,High-Tech,12,Yes,5399605.983,18358271.4,48,61.8943696
Operation Expansion,309,20,3,Manufacturing,6,No,6365665.9,34984206.43,46,52.60528724
Operation Expansion,310,1,7,High-Tech,19,No,4866012.693,33014791.28,19,34.72756837
Working Capital,311,10,2,Manufacturing,2,Yes,2354832.254,12568467.16,49,97.74005834
Operation Expansion,312,12,3,Manufacturing,8,No,6448299.49,9442266.531,52,62.33976143
Employee/Payroll,313,17,6,Healthcare,2,No,5726243.101,20258303.36,31,62.25953816
Inventory,314,1,10,Healthcare,15,No,5958400.523,19280793.67,61,45.65858984
Operation Expansion,315,2,4,Hospitality,16,Yes,3572827.977,28922024.66,26,60.62473943
Employee/Payroll,316,17,7,Manufacturing,5,Yes,3974170.597,24458755.22,22,72.75219209
Operation Expansion,317,19,5,Healthcare,4,Yes,5597964.737,32400260.73,21,66.02169278
Inventory,318,17,2,Retail,11,Yes,6365725.931,25860502.14,34,59.77997245
