Profit,Capacity_Score,Area,Age,Food_Diversity_Score,Type,Price_Range,City,State
166339.7848,3,Downtown,Well-Known,3,Full Service Restaurant,4,Santa Monica,CA
114418.8628,7,Downtown,Well-Known,5,Banquet,5,Torrance,CA
217033.2934,4,Suburbs,Well-Known,1,Full Service Restaurant,3,Torrance,CA
119380.9505,1,Suburbs,Developed,3,Full Service Restaurant,2,Torrance,CA
141122.7929,3,Downtown,Well-Known,5,Banquet,3,Torrance,CA
115289.8975,6,Suburbs,Well-Known,9,Cafeteria,1,Torrance,CA
85678.58667,1,Suburbs,Recent,8,Cafeteria,2,Torrance,CA
136411.8301,3,Downtown,Well-Known,5,Full Service Restaurant,3,Whittier,CA
138168.5032,6,Suburbs,Developed,8,Banquet,1,Whittier,CA
132694.3624,1,Suburbs,Recent,3,Banquet,2,Whittier,CA
131341.25,2,Suburbs,Developed,6,Full Service Restaurant,3,Whittier,CA
160106.0132,4,Downtown,Recent,1,Banquet,2,Whittier,CA
124125.9839,1,Downtown,Well-Known,4,Banquet,2,Whittier,CA
133028.1381,7,Suburbs,Well-Known,2,Full Service Restaurant,1,Buena Park,CA
130593.651,2,Downtown,Recent,10,Cafeteria,4,Buena Park,CA
174510.6795,7,Downtown,Recent,9,Banquet,2,La Palma,CA
122259.3321,3,Suburbs,Recent,10,Cafeteria,1,Cypress,CA
137160.4,4,Suburbs,Developed,8,Banquet,2,La Habra,CA
153053.8028,3,Downtown,Recent,7,Full Service Restaurant,2,La Mirada,CA
129595.1749,6,Suburbs,Recent,2,Banquet,4,Montebello,CA
127481.4933,7,Suburbs,Recent,1,Cafeteria,1,Norwalk,CA
137349.2719,7,Suburbs,Recent,8,Banquet,3,Pico Rivera,CA
121346.5021,3,Suburbs,Developed,10,Banquet,2,Santa Fe Springs,CA
123399.7837,4,Suburbs,Developed,9,Cafeteria,2,Stanton,CA
212906.1872,2,Suburbs,Well-Known,4,Full Service Restaurant,5,Artesia,CA
94609.51493,3,Suburbs,Developed,4,Banquet,3,Cerritos,CA
180350.3752,5,Downtown,Developed,7,Banquet,2,Avalon,CA
142445.7745,3,Suburbs,Recent,1,Cafeteria,2,Bellflower,CA
186205.619,6,Suburbs,Developed,4,Full Service Restaurant,2,Harbor City,CA
160431.6929,1,Suburbs,Recent,7,Full Service Restaurant,3,Lakewood,CA
131252.2551,3,Downtown,Recent,2,Cafeteria,2,Lakewood,CA
197268.1115,7,Suburbs,Well-Known,5,Full Service Restaurant,4,Lakewood,CA
137946.3879,4,Suburbs,Recent,10,Full Service Restaurant,3,Hawaiian Gardens,CA
194515.1254,6,Suburbs,Well-Known,7,Banquet,3,Lomita,CA
209597.6794,5,Downtown,Well-Known,7,Full Service Restaurant,2,Los Alamitos,CA
145312.9695,7,Suburbs,Developed,7,Banquet,5,Paramount,CA
67575.9875,1,Suburbs,Recent,6,Cafeteria,1,San Pedro,CA
138024.3506,7,Suburbs,Developed,10,Cafeteria,2,San Pedro,CA
117423.8836,5,Downtown,Developed,6,Banquet,2,Seal Beach,CA
128477.6099,5,Downtown,Well-Known,10,Banquet,2,Sunset Beach,CA
96886.37769,3,Downtown,Developed,7,Cafeteria,2,Surfside,CA
170545.4036,3,Suburbs,Developed,4,Full Service Restaurant,5,Wilmington,CA
102639.5008,4,Downtown,Recent,3,Cafeteria,2,Carson,CA
80762.70453,3,Downtown,Recent,7,Cafeteria,4,Carson,CA
118508.5133,4,Suburbs,Well-Known,8,Cafeteria,3,Carson,CA
112844.9403,5,Suburbs,Developed,8,Full Service Restaurant,3,Signal Hill,CA
200256.8216,2,Downtown,Developed,2,Full Service Restaurant,5,Long Beach,CA
149841.2039,6,Suburbs,Well-Known,6,Cafeteria,4,Long Beach,CA
189286.6991,1,Suburbs,Developed,1,Banquet,1,Long Beach,CA
164848.2993,5,Downtown,Developed,5,Cafeteria,2,Long Beach,CA
113464.8764,3,Suburbs,Well-Known,6,Cafeteria,4,Long Beach,CA
194818.5123,4,Downtown,Well-Known,3,Full Service Restaurant,5,Long Beach,CA
190290.258,4,Downtown,Recent,2,Banquet,3,Long Beach,CA
91016.57583,7,Downtown,Developed,10,Cafeteria,5,Long Beach,CA
120719.4545,3,Downtown,Developed,4,Banquet,3,Long Beach,CA
151003.6976,7,Suburbs,Well-Known,5,Cafeteria,5,Long Beach,CA
131390.9369,3,Suburbs,Recent,10,Full Service Restaurant,5,Long Beach,CA
168640.6789,6,Suburbs,Developed,3,Banquet,1,Long Beach,CA
95974.32825,7,Suburbs,Recent,7,Full Service Restaurant,1,Long Beach,CA
170336.6791,4,Downtown,Recent,1,Banquet,2,Altadena,CA
129492.3682,7,Suburbs,Recent,9,Banquet,1,Arcadia,CA
161116.2577,3,Suburbs,Well-Known,7,Banquet,5,Arcadia,CA
130054.2549,1,Suburbs,Well-Known,10,Full Service Restaurant,1,Duarte,CA
152843.5397,3,Downtown,Well-Known,10,Cafeteria,1,Duarte,CA
96632.49411,5,Downtown,Recent,9,Banquet,1,La Canada Flintridge,CA
117261.3686,2,Downtown,Developed,8,Cafeteria,5,Monrovia,CA
216088.6214,4,Suburbs,Well-Known,1,Full Service Restaurant,5,Montrose,CA
107953.0655,4,Suburbs,Developed,1,Cafeteria,2,Sierra Madre,CA
163239.8415,1,Suburbs,Well-Known,6,Cafeteria,4,South Pasadena,CA
143205.4165,7,Downtown,Developed,7,Banquet,2,Sunland,CA
123059.4484,1,Downtown,Recent,8,Full Service Restaurant,5,Tujunga,CA
130295.1937,1,Downtown,Recent,9,Full Service Restaurant,1,Verdugo City,CA
156592.1491,3,Suburbs,Well-Known,10,Full Service Restaurant,5,Pasadena,CA
191462.3434,2,Downtown,Well-Known,10,Banquet,2,Pasadena,CA
155174.2787,2,Suburbs,Well-Known,3,Cafeteria,3,Pasadena,CA
166332.1515,6,Suburbs,Recent,5,Full Service Restaurant,3,Pasadena,CA
118840.1696,1,Downtown,Well-Known,3,Banquet,4,Pasadena,CA
153236.0313,3,Downtown,Developed,3,Full Service Restaurant,2,Pasadena,CA
138591.2391,5,Downtown,Recent,8,Full Service Restaurant,3,San Marino,CA
93194.5294,4,Suburbs,Recent,1,Cafeteria,1,Glendale,CA
193452.2115,1,Suburbs,Well-Known,1,Full Service Restaurant,4,Glendale,CA
197371.9188,6,Suburbs,Developed,8,Full Service Restaurant,5,Glendale,CA
94505.65732,1,Suburbs,Developed,7,Banquet,1,Glendale,CA
186081.4836,5,Suburbs,Developed,3,Full Service Restaurant,5,Glendale,CA
151890.6893,5,Suburbs,Recent,8,Cafeteria,5,Glendale,CA
122640.8715,6,Downtown,Developed,10,Banquet,4,Glendale,CA
140815.9894,7,Downtown,Developed,2,Cafeteria,3,Glendale,CA
107255.1025,4,Suburbs,Recent,5,Full Service Restaurant,4,Glendale,CA
77026.51978,3,Suburbs,Developed,5,Cafeteria,3,La Crescenta,CA
148116.6348,6,Suburbs,Well-Known,7,Banquet,2,Agoura Hills,CA
138440.6725,7,Downtown,Developed,3,Cafeteria,4,Calabasas,CA
144045.6409,7,Downtown,Developed,9,Full Service Restaurant,5,Canoga Park,CA
105843.5443,6,Suburbs,Developed,7,Cafeteria,2,Canoga Park,CA
185652.6657,6,Downtown,Well-Known,4,Full Service Restaurant,4,Winnetka,CA
179794.8929,5,Downtown,Well-Known,1,Cafeteria,4,West Hills,CA
120268.3716,7,Downtown,Well-Known,2,Cafeteria,2,Chatsworth,CA
176857.8028,2,Downtown,Recent,2,Banquet,5,Encino,CA
107864.6749,5,Downtown,Well-Known,1,Cafeteria,5,Newbury Park,CA
154405.7821,2,Suburbs,Recent,8,Cafeteria,4,Newhall,CA
135467.0141,1,Suburbs,Developed,4,Banquet,3,Northridge,CA
126187.7579,1,Suburbs,Developed,7,Cafeteria,4,Northridge,CA
194263.1702,7,Downtown,Developed,4,Banquet,1,Porter Ranch,CA
115028.3751,4,Downtown,Developed,9,Cafeteria,3,Northridge,CA
180933.0537,2,Downtown,Well-Known,4,Full Service Restaurant,4,Pacoima,CA
149683.6253,5,Downtown,Well-Known,5,Cafeteria,4,Reseda,CA
147578.1602,5,Downtown,Developed,2,Banquet,4,San Fernando,CA
175928.4029,2,Downtown,Recent,7,Full Service Restaurant,5,Sylmar,CA
130729.8008,6,Suburbs,Developed,4,Full Service Restaurant,1,North Hills,CA
146737.5977,3,Suburbs,Developed,6,Full Service Restaurant,2,Granada Hills,CA
104624.7013,5,Downtown,Recent,5,Banquet,4,Mission Hills,CA
157926.2971,1,Downtown,Recent,5,Banquet,2,Santa Clarita,CA
196944.0383,2,Suburbs,Well-Known,2,Banquet,5,Canyon Country,CA
111320.3035,3,Downtown,Developed,6,Banquet,4,Sun Valley,CA
213080.876,6,Downtown,Recent,10,Full Service Restaurant,3,Valencia,CA
163646.6319,2,Suburbs,Well-Known,4,Cafeteria,4,Valencia,CA
93650.28825,6,Suburbs,Recent,3,Cafeteria,3,Tarzana,CA
160243.9716,7,Suburbs,Developed,1,Full Service Restaurant,5,Thousand Oaks,CA
156776.3618,7,Suburbs,Developed,10,Full Service Restaurant,1,Westlake Village,CA
100899.9198,2,Suburbs,Developed,2,Banquet,2,Thousand Oaks,CA
138858.1607,4,Downtown,Well-Known,7,Cafeteria,1,Woodland Hills,CA
112910.3373,3,Downtown,Developed,7,Banquet,3,Woodland Hills,CA
207372.0171,6,Suburbs,Well-Known,10,Full Service Restaurant,3,Woodland Hills,CA
191079.4528,4,Downtown,Developed,6,Full Service Restaurant,2,Oak Park,CA
184480.5783,6,Downtown,Developed,10,Full Service Restaurant,3,Stevenson Ranch,CA
152531.3005,1,Downtown,Recent,7,Banquet,4,Castaic,CA
151127.8991,4,Downtown,Recent,5,Full Service Restaurant,5,Canyon Country,CA
102555.3775,2,Suburbs,Well-Known,2,Banquet,5,Santa Clarita,CA
155742.4577,6,Suburbs,Recent,2,Full Service Restaurant,3,Van Nuys,CA
137896.4525,2,Downtown,Well-Known,5,Banquet,5,Panorama City,CA
138665.428,2,Suburbs,Developed,2,Full Service Restaurant,4,Sherman Oaks,CA
172829.2161,1,Downtown,Recent,10,Banquet,2,Van Nuys,CA
154931.3991,6,Suburbs,Recent,9,Banquet,3,Van Nuys,CA
163051.7563,5,Downtown,Developed,4,Full Service Restaurant,3,Van Nuys,CA
102458.5365,6,Suburbs,Developed,1,Cafeteria,5,Sherman Oaks,CA
157733.0944,5,Suburbs,Recent,9,Cafeteria,4,Encino,CA
102165.5345,2,Suburbs,Developed,3,Cafeteria,3,Burbank,CA
157903.7974,4,Suburbs,Well-Known,5,Banquet,2,Burbank,CA
157529.4363,5,Downtown,Well-Known,5,Cafeteria,2,Burbank,CA
122328.6885,7,Downtown,Recent,4,Banquet,2,Burbank,CA
155903.1242,2,Suburbs,Recent,9,Banquet,5,Burbank,CA
119946.5521,6,Downtown,Recent,10,Cafeteria,2,North Hollywood,CA
142716.9329,6,Downtown,Developed,3,Banquet,3,North Hollywood,CA
195383.6986,1,Downtown,Recent,6,Full Service Restaurant,1,Studio City,CA
150834.4325,5,Suburbs,Well-Known,7,Full Service Restaurant,1,North Hollywood,CA
213603.0558,6,Downtown,Well-Known,1,Full Service Restaurant,1,North Hollywood,CA
194991.3945,2,Suburbs,Developed,4,Full Service Restaurant,1,Valley Village,CA
132504.3232,6,Suburbs,Developed,4,Cafeteria,2,Universal City,CA
199713.0491,1,Downtown,Developed,1,Full Service Restaurant,3,Rancho Cucamonga,CA
107979.4924,2,Downtown,Recent,1,Cafeteria,5,Azusa,CA
150637.1396,5,Downtown,Recent,3,Full Service Restaurant,4,Baldwin Park,CA
110620.0437,5,Downtown,Developed,2,Cafeteria,1,Chino,CA
157425.842,7,Suburbs,Recent,5,Cafeteria,4,Chino Hills,CA
134734.8064,6,Downtown,Well-Known,10,Banquet,5,Chino,CA
203210.5642,7,Downtown,Well-Known,7,Full Service Restaurant,1,Claremont,CA
163430.702,7,Downtown,Recent,10,Cafeteria,5,Covina,CA
117625.3601,6,Downtown,Well-Known,8,Banquet,4,Covina,CA
211655.3554,3,Downtown,Recent,8,Full Service Restaurant,2,Covina,CA
175448.8079,2,Downtown,Recent,2,Full Service Restaurant,1,Rancho Cucamonga,CA
89343.15631,5,Downtown,Developed,9,Cafeteria,4,El Monte,CA
126505.8757,4,Suburbs,Well-Known,9,Cafeteria,4,El Monte,CA
206029.0233,3,Suburbs,Well-Known,8,Full Service Restaurant,3,South El Monte,CA
183836.4824,4,Downtown,Developed,1,Banquet,1,Rancho Cucamonga,CA
135133.1255,6,Suburbs,Developed,5,Banquet,4,Rancho Cucamonga,CA
169174.5508,5,Suburbs,Developed,3,Full Service Restaurant,4,Glendora,CA
102295.2626,3,Downtown,Recent,7,Cafeteria,5,Glendora,CA
67288.17604,4,Suburbs,Recent,7,Cafeteria,5,La Puente,CA
180549.4508,4,Suburbs,Recent,7,Full Service Restaurant,3,Hacienda Heights,CA
127068.8142,1,Suburbs,Recent,9,Cafeteria,5,La Puente,CA
144145.2161,3,Suburbs,Developed,9,Banquet,5,Rowland Heights,CA
90223.84518,5,Downtown,Developed,3,Cafeteria,5,La Verne,CA
157627.0993,2,Downtown,Recent,10,Full Service Restaurant,3,Mira Loma,CA
203942.077,4,Downtown,Well-Known,7,Full Service Restaurant,4,Monterey Park,CA
121472.0745,1,Downtown,Recent,10,Full Service Restaurant,1,Monterey Park,CA
156768.3096,3,Suburbs,Well-Known,5,Cafeteria,1,Mt Baldy,CA
154176.7114,1,Suburbs,Recent,7,Cafeteria,2,Ontario,CA
102176.5805,1,Suburbs,Developed,10,Banquet,4,Ontario,CA
91106.7916,5,Suburbs,Recent,1,Cafeteria,1,Montclair,CA
164219.9279,6,Suburbs,Recent,7,Full Service Restaurant,5,Ontario,CA
180061.3556,2,Suburbs,Developed,2,Banquet,3,Diamond Bar,CA
149530.1508,4,Suburbs,Recent,5,Banquet,2,Pomona,CA
204055.0208,1,Downtown,Developed,3,Full Service Restaurant,4,Pomona,CA
188454.9196,5,Suburbs,Well-Known,4,Banquet,4,Pomona,CA
127532.3398,6,Suburbs,Well-Known,2,Cafeteria,4,Rosemead,CA
170743.2507,1,Downtown,Developed,8,Full Service Restaurant,1,San Dimas,CA
190182.3203,1,Downtown,Recent,9,Full Service Restaurant,1,San Gabriel,CA
141157.9357,1,Suburbs,Developed,10,Banquet,3,San Gabriel,CA
126566.512,3,Suburbs,Developed,10,Cafeteria,5,Temple City,CA
155972.6683,5,Downtown,Developed,5,Cafeteria,3,Upland,CA
112053.7775,7,Downtown,Well-Known,4,Cafeteria,4,Upland,CA
86230.46915,3,Downtown,Developed,8,Cafeteria,2,Walnut,CA
158830.0853,3,Suburbs,Developed,7,Banquet,3,West Covina,CA
157041.3174,2,Downtown,Recent,10,Full Service Restaurant,4,West Covina,CA
100371.6249,4,Downtown,Developed,6,Banquet,2,West Covina,CA
139825.3607,1,Downtown,Well-Known,1,Banquet,3,Alhambra,CA
124700.0895,5,Downtown,Developed,4,Full Service Restaurant,2,Alhambra,CA
79946.65543,7,Downtown,Developed,1,Cafeteria,4,Alpine,CA
200921.5385,6,Downtown,Well-Known,6,Full Service Restaurant,5,Bonita,CA
151463.8109,6,Suburbs,Developed,10,Full Service Restaurant,4,Boulevard,CA
198817.4801,7,Suburbs,Developed,9,Full Service Restaurant,5,Campo,CA
152163.0408,7,Suburbs,Well-Known,3,Cafeteria,5,Chula Vista,CA
101188.6954,6,Suburbs,Well-Known,6,Cafeteria,2,Chula Vista,CA
113413.9677,1,Downtown,Recent,7,Full Service Restaurant,5,Chula Vista,CA
80454.25944,1,Downtown,Recent,7,Cafeteria,2,Chula Vista,CA
116573.587,6,Downtown,Recent,2,Cafeteria,3,Chula Vista,CA
144164.088,5,Suburbs,Recent,2,Banquet,3,Descanso,CA
181038.6119,2,Downtown,Recent,6,Full Service Restaurant,4,Dulzura,CA
116574.7923,6,Suburbs,Developed,9,Full Service Restaurant,3,Guatay,CA
109558.4946,6,Suburbs,Developed,5,Full Service Restaurant,2,Imperial Beach,CA
113933.3828,5,Downtown,Well-Known,5,Banquet,2,Jacumba,CA
154481.2695,6,Suburbs,Developed,3,Banquet,3,Jamul,CA
128490.5066,3,Suburbs,Developed,8,Banquet,5,La Mesa,CA
112129.2521,4,Downtown,Developed,9,Cafeteria,5,La Mesa,CA
183998.523,2,Downtown,Developed,10,Full Service Restaurant,1,Lemon Grove,CA
123133.213,5,Downtown,Recent,9,Cafeteria,4,Mount Laguna,CA
165147.6462,4,Downtown,Well-Known,1,Banquet,5,National City,CA
118535.9724,4,Suburbs,Developed,7,Full Service Restaurant,5,Pine Valley,CA
102651.4805,5,Downtown,Developed,7,Cafeteria,2,Potrero,CA
132003.2745,5,Suburbs,Well-Known,5,Banquet,2,Spring Valley,CA
129669.2875,1,Downtown,Well-Known,1,Banquet,4,Spring Valley,CA
183395.0049,5,Downtown,Well-Known,2,Full Service Restaurant,2,Tecate,CA
86083.05157,5,Suburbs,Recent,2,Banquet,4,Bonsall,CA
102844.6335,7,Downtown,Recent,5,Cafeteria,5,Borrego Springs,CA
152715.9482,6,Suburbs,Developed,7,Banquet,2,Cardiff By The Sea,CA
150283.5322,5,Suburbs,Developed,10,Banquet,2,Carlsbad,CA
164739.6884,4,Downtown,Developed,8,Banquet,1,Carlsbad,CA
154307.624,6,Suburbs,Developed,8,Full Service Restaurant,5,Carlsbad,CA
106144.6406,1,Downtown,Well-Known,2,Cafeteria,3,Carlsbad,CA
139626.3135,6,Suburbs,Recent,10,Full Service Restaurant,4,Del Mar,CA
120080.9566,2,Suburbs,Recent,6,Banquet,4,El Cajon,CA
121023.6618,3,Suburbs,Developed,1,Cafeteria,3,El Cajon,CA
102780.9787,2,Downtown,Recent,3,Banquet,4,El Cajon,CA
92500.4049,3,Downtown,Well-Known,2,Cafeteria,5,Encinitas,CA
62336.41475,3,Suburbs,Recent,3,Cafeteria,4,Escondido,CA
126626.3152,3,Suburbs,Recent,3,Full Service Restaurant,2,Escondido,CA
150198.3744,7,Suburbs,Recent,10,Full Service Restaurant,3,Escondido,CA
126821.3109,2,Suburbs,Well-Known,3,Full Service Restaurant,5,Fallbrook,CA
90847.44636,2,Suburbs,Well-Known,4,Cafeteria,4,Escondido,CA
179951.8648,4,Downtown,Recent,4,Banquet,4,Julian,CA
183923.7222,2,Suburbs,Developed,2,Banquet,1,La Jolla,CA
174561.0891,6,Suburbs,Well-Known,5,Banquet,5,Lakeside,CA
184410.1525,2,Downtown,Well-Known,5,Banquet,5,Oceanside,CA
141612.1831,7,Suburbs,Recent,1,Full Service Restaurant,1,Camp Pendleton,CA
142600.3001,7,Suburbs,Developed,7,Cafeteria,4,Oceanside,CA
191023.6426,6,Downtown,Recent,2,Banquet,4,Oceanside,CA
170634.8206,3,Downtown,Well-Known,8,Cafeteria,1,Oceanside,CA
114396.0266,7,Downtown,Recent,9,Cafeteria,4,Pala,CA
192168.6005,6,Downtown,Recent,1,Banquet,3,Palomar Mountain,CA
177377.7148,6,Suburbs,Well-Known,9,Full Service Restaurant,2,Pauma Valley,CA
